Ref,Val,Package,PosX,PosY,Rot,Side
"D30","Yellow","LED_0805_2012Metric",202.400000,-129.000000,0.000000,top
"D31","Yellow","LED_0805_2012Metric",202.400000,-79.700000,0.000000,top
"D32","Yellow","LED_0805_2012Metric",202.450000,-175.250000,0.000000,top
"D33","Yellow","LED_0805_2012Metric",216.400000,-52.600000,0.000000,top
"D34","Yellow","LED_0805_2012Metric",216.400000,-129.000000,0.000000,top
"D35","Yellow","LED_0805_2012Metric",216.400000,-79.700000,0.000000,top
"D36","Yellow","LED_0805_2012Metric",216.450000,-175.250000,0.000000,top
"D37","Yellow","LED_0805_2012Metric",151.800000,-296.300000,180.000000,top
"D38","BAT43W","D_SOD-123",239.525000,-229.425000,-90.000000,top
"D39","BAT43W","D_SOD-123",236.925000,-229.475000,-90.000000,top
"D40","BAT43W","D_SOD-123",149.900000,-287.625000,-90.000000,top
"D41","BAT43W","D_SOD-123",65.200000,-243.900000,0.000000,top
"D42","BAT43W","D_SOD-123",70.100000,-245.300000,0.000000,top
"D43","BAT43W","D_SOD-123",65.200000,-241.400000,0.000000,top
"D44","BAT43W","D_SOD-123",65.200000,-238.800000,0.000000,top
"D45","BAT43W","D_SOD-123",70.100000,-240.000000,0.000000,top
"D46","BAT43W","D_SOD-123",65.300000,-261.700000,0.000000,top
"D47","BAT43W","D_SOD-123",65.300000,-259.200000,0.000000,top
"D48","BAT43W","D_SOD-123",70.200000,-257.800000,0.000000,top
"D49","BAT43W","D_SOD-123",70.200000,-250.200000,0.000000,top
"D50","BAT43W","D_SOD-123",65.300000,-249.000000,0.000000,top
"D51","BAT43W","D_SOD-123",65.300000,-251.550000,0.000000,top
"D52","BAT43W","D_SOD-123",65.300000,-256.600000,0.000000,top
"D53","BAT43W","D_SOD-123",70.200000,-260.300000,0.000000,top
"D54","BAT43W","D_SOD-123",70.200000,-255.300000,0.000000,top
"D55","Yellow","LED_0805_2012Metric",188.400000,-52.600000,0.000000,top
"D56","Yellow","LED_0805_2012Metric",188.400000,-129.000000,0.000000,top
"D57","Yellow","LED_0805_2012Metric",188.400000,-79.700000,0.000000,top
"D58","Yellow","LED_0805_2012Metric",188.450000,-175.250000,0.000000,top
"D59","BAT43W","D_SOD-123",227.400000,-148.800000,0.000000,top
"D60","BAT43W","D_SOD-123",227.400000,-137.700000,0.000000,top
"D61","Yellow","LED_0805_2012Metric",146.480000,-52.620000,0.000000,top
"D62","Yellow","LED_0805_2012Metric",146.480000,-129.020000,0.000000,top
"D63","Yellow","LED_0805_2012Metric",146.480000,-79.720000,0.000000,top
"D64","Yellow","LED_0805_2012Metric",146.530000,-175.270000,0.000000,top
"D65","Yellow","LED_0805_2012Metric",132.400000,-52.600000,0.000000,top
"D66","Yellow","LED_0805_2012Metric",132.400000,-129.000000,0.000000,top
"D67","Yellow","LED_0805_2012Metric",132.400000,-79.700000,0.000000,top
"D68","Yellow","LED_0805_2012Metric",132.450000,-175.250000,0.000000,top
"D69","Yellow","LED_0805_2012Metric",62.000000,-294.000000,0.000000,top
"D70","Yellow","LED_0805_2012Metric",66.800000,-294.100000,0.000000,top
"D71","Yellow","LED_0805_2012Metric",71.600000,-294.100000,0.000000,top
"D72","Yellow","LED_0805_2012Metric",76.400000,-294.100000,0.000000,top
"D73","Yellow","LED_0805_2012Metric",92.600000,-294.100000,0.000000,top
"D74","Yellow","LED_0805_2012Metric",97.500000,-294.100000,0.000000,top
"D75","Yellow","LED_0805_2012Metric",104.000000,-294.100000,0.000000,top
"D76","Yellow","LED_0805_2012Metric",83.000000,-294.100000,0.000000,top
"D77","Yellow","LED_0805_2012Metric",87.800000,-294.100000,0.000000,top
"D78","Yellow","LED_0805_2012Metric",108.800000,-294.100000,0.000000,top
"D79","Yellow","LED_0805_2012Metric",113.700000,-294.100000,0.000000,top
"D80","Yellow","LED_0805_2012Metric",118.500000,-294.100000,0.000000,top
"D81","Yellow","LED_0805_2012Metric",62.000000,-297.600000,0.000000,top
"D82","Yellow","LED_0805_2012Metric",66.800000,-297.600000,0.000000,top
"D83","Yellow","LED_0805_2012Metric",71.600000,-297.500000,0.000000,top
"D84","Yellow","LED_0805_2012Metric",76.400000,-297.500000,0.000000,top
"D85","Yellow","LED_0805_2012Metric",83.000000,-297.500000,0.000000,top
"D86","Yellow","LED_0805_2012Metric",87.800000,-297.500000,0.000000,top
"D87","Yellow","LED_0805_2012Metric",92.600000,-297.500000,0.000000,top
"D88","Yellow","LED_0805_2012Metric",97.500000,-297.500000,0.000000,top
"D89","Yellow","LED_0805_2012Metric",104.000000,-297.500000,0.000000,top
"D90","Yellow","LED_0805_2012Metric",108.800000,-297.500000,0.000000,top
"D91","Yellow","LED_0805_2012Metric",113.700000,-297.500000,0.000000,top
"D92","Yellow","LED_0805_2012Metric",118.500000,-297.500000,0.000000,top
"D93","BAT43W","D_SOD-123",152.525000,-287.625000,-90.000000,top
"D94","BAT43W","D_SOD-123",155.100000,-287.600000,-90.000000,top
"D95","Yellow","LED_0805_2012Metric",218.800000,-218.300000,0.000000,top
"D96","Yellow","LED_0805_2012Metric",205.700000,-218.300000,0.000000,top
"DS1","WC1602A","WC1602A",174.000000,-259.000000,0.000000,top
"G***","LOGO","q2-logo",116.575000,-262.025000,0.000000,top
"J1","Programmer","IDC-Header_2x20_P2.54mm_Vertical",55.600000,-231.200000,0.000000,top
"J2","USB_B","USB_B_OST_USB-B1HSxx_Horizontal",230.000000,-50.500000,90.000000,top
"J3","I2C","PinHeader_1x05_P2.54mm_Horizontal",236.525000,-138.750000,0.000000,top
"Q1","2N7002","SOT-23",62.500000,-190.500000,0.000000,top
"Q2","2N7002K","SOT-23",58.800000,-190.500000,0.000000,top
"Q3","2N7002","SOT-23",62.400000,-67.800000,0.000000,top
"Q4","2N7002","SOT-23",58.700000,-67.800000,0.000000,top
"Q5","2N7002","SOT-23",62.400000,-45.000000,0.000000,top
"Q6","2N7002","SOT-23",62.400000,-56.400000,0.000000,top
"Q7","2N7002","SOT-23",58.700000,-56.400000,0.000000,top
"Q8","2N7002","SOT-23",58.700000,-45.000000,0.000000,top
"Q9","2N7002","SOT-23",62.400000,-48.800000,0.000000,top
"Q10","2N7002","SOT-23",62.400000,-60.200000,0.000000,top
